tileid,center_points
29UMA,"-9.697923253768604/54.55058824328048,-9.697923253768604/54.50058824328048,-9.647923253768603/54.50058824328048,-9.647923253768603/54.55058824328048"
29UMT,"-9.655436133582153/51.85412925779467,-9.655436133582153/51.80412925779467,-9.605436133582153/51.80412925779467,-9.605436133582153/51.85412925779467"
29UMU,"-9.668850625177695/52.75326926738678,-9.668850625177695/52.70326926738678,-9.618850625177695/52.70326926738678,-9.618850625177695/52.75326926738678"
29UMV,"-9.682990148762912/53.65172975598183,-9.682990148762912/53.601729755981836,-9.63299014876291/53.601729755981836,-9.63299014876291/53.65172975598183"
29UNA,"-8.151499149823572/54.54962630365665,-8.151499149823572/54.499626303656655,-8.101499149823571/54.499626303656655,-8.101499149823571/54.54962630365665"
29UNB,"-8.13231560361485/55.44831281334956,-8.13231560361485/55.39831281334956,-8.08231560361485/55.39831281334956,-8.08231560361485/55.44831281334956"
29UNT,"-8.203157114995863/51.85325785693969,-8.203157114995863/51.803257856939695,-8.153157114995862/51.803257856939695,-8.153157114995862/51.85325785693969"
29UNU,"-8.186851779707812/52.75236962343704,-8.186851779707812/52.70236962343704,-8.136851779707811/52.70236962343704,-8.136851779707811/52.75236962343704"
29UNV,"-8.169660207440636/53.650797394580295,-8.169660207440636/53.6007973945803,-8.119660207440635/53.6007973945803,-8.119660207440635/53.650797394580295"
29UPA,"-6.6061207438244205/54.52891077349379,-6.6061207438244205/54.478910773493794,-6.556120743824421/54.478910773493794,-6.556120743824421/54.52891077349379"
29UPB,"-6.552045843910836/55.42689828239511,-6.552045843910836/55.37689828239511,-6.502045843910836/55.37689828239511,-6.502045843910836/55.42689828239511"
29UPT,"-6.751711239638286/51.834466431241566,-6.751711239638286/51.78446643124157,-6.7017112396382865/51.78446643124157,-6.7017112396382865/51.834466431241566"
29UPU,"-6.705731038867848/52.732960828279495,-6.705731038867848/52.6829608282795,-6.655731038867848/52.6829608282795,-6.655731038867848/52.732960828279495"
29UPV,"-6.657285739980675/53.63075069438569,-6.657285739980675/53.58075069438569,-6.607285739980675/53.58075069438569,-6.607285739980675/53.63075069438569"
30UUF,"-5.242565238292145/54.53181118030394,-5.242565238292145/54.48181118030394,-5.192565238292145/54.48181118030394,-5.192565238292145/54.53181118030394"
